Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,359.546204,361.468506,351.586884,355.957367,355.957367,16389165
2014-09-18,355.588409,355.505402,319.789459,328.539368,328.539368,26691849
2014-09-19,328.278503,330.936707,298.921021,307.761139,307.761139,29560102
2014-09-20,307.665253,329.978180,303.931244,318.758972,318.758972,28736825
2014-09-21,318.120514,321.504517,306.502197,310.632446,310.632446,20702624
2014-09-22,310.849762,316.469116,309.170898,312.958771,312.958771,18776342
2014-09-23,312.912079,343.704376,307.343872,339.189758,339.189758,35102350
2014-09-24,339.158630,339.307556,327.882263,331.250000,331.250000,23972839
2014-09-25,331.211639,331.444672,321.226959,322.676605,322.676605,21022657
2014-09-26,322.562897,325.339478,314.102081,318.896851,318.896851,16922252
2014-09-27,318.211639,320.630005,313.335449,315.029175,315.029175,11850891
2014-09-28,314.990540,316.209595,295.214508,297.578705,297.578705,18629822
2014-09-29,297.379089,303.267975,293.333313,295.899597,295.899597,25610922
2014-09-30,296.389008,309.562134,294.327698,306.417480,306.417480,27484399
2014-10-01,306.799957,310.224304,301.894867,303.949768,303.949768,20782346
2014-10-02,304.245300,304.692535,294.376831,296.054932,296.054932,17189754
2014-10-03,296.140961,299.354065,285.944061,287.264862,287.264862,24691330
2014-10-04,287.568512,291.240112,260.396301,262.777466,262.777466,37743907
2014-10-05,262.817413,273.113068,231.159393,256.162079,256.162079,66582557
2014-10-06,256.065369,274.569611,241.699951,261.076508,261.076508,62494502
2014-10-07,261.475922,268.816956,254.431564,265.508606,265.508606,38856341
2014-10-08,265.452545,278.107056,258.974182,277.032959,277.032959,42964128
2014-10-09,276.882263,301.691650,272.781281,287.716553,287.716553,65926620
2014-10-10,287.449371,295.281830,279.751923,286.363068,286.363068,34583953
2014-10-11,286.204651,290.821320,281.919037,286.946777,286.946777,10569618
2014-10-12,287.189911,300.041931,282.071930,299.508667,299.508667,13887807
2014-10-13,299.011780,311.916779,290.882355,306.929260,306.929260,27689779
2014-10-14,307.933960,323.814697,307.717224,317.118896,317.118896,30449727
2014-10-15,317.186127,318.091736,304.151154,307.935272,307.935272,19709126
2014-10-16,307.736359,310.766785,291.347137,298.801849,298.801849,21080996
